A	B	C	Output
46	58	21	58328.405628178300
86	53	26	122497.851666240000
45	59	87	226130.361605518000
5	83	75	25951.857100245800
31	10	4	1585.791309918230
34	88	51	153039.959262892000
66	73	69	332581.995255392000
10	46	9	4572.460107760900
55	9	80	33755.242045454500
21	70	23	34802.766186186700
3	21	22	986.597727210107
46	43	69	133757.419757365000
75	33	23	58962.094707574100
56	98	75	411539.385447318000
92	25	88	197055.945158103000
94	49	27	128352.990937746000
27	90	60	144679.209055203000
16	37	53	29189.282054983100
60	58	8	31374.499106439200
